title,ministry,schemeCategory,description,beneficiaryState,npiMinistry,slug,tags,__typename
Dharti Aaba Janjatiya Gram Utkarsh Abhiyaan - DNH & DD,Ministry Of Tribal Affairs,"['Health & Wellness', 'Education & Learning', 'Housing & Shelter', 'Social welfare & Empowerment', 'Banking,Financial Services and Insurance', 'Agriculture,Rural & Environment', 'Travel & Tourism', 'Women and Child', 'Skills & Employment']","The scheme ensures holistic and sustainable development of tribal communities, building on PMJANMAN. It promotes inter-ministerial convergence across 17 ministries with 25 focused interventions. Gap analysis by departments guides need-based funding to bridge development gaps effectively.",,,dajgua,['Dharti Aaba Janjatiya Gram Utkarsh Abhiyaan'],Search
Unique Disability Identity - DNH & DD,Ministry Of Social Justice and Empowerment,"['Women and Child', 'Social welfare & Empowerment', 'Health & Wellness']",UDID Card or Unique Disability Identity card is an initiative by Government of India with a view of creating a National Database for Persons with Disabilities (PwDs). Under the UDID project Disability Certificate and Unique Disability Identity Card is issued to each PwD through online platform.,,,udid,"['Disability Card', 'Swavlamban Card']",Search
Pradhan Mantri Matru Vandana Yojana,Ministry of Women and Child Development,"['Health & Wellness', 'Social welfare & Empowerment', 'Utility & Sanitation', 'Women and Child']","The scheme is to provide maternity benefits to women belonging to socially and economically disadvantaged sections of society. For first child the maternity benefit of ₹5,000 is provided in two instalments under PMMVY and second child, it is ₹6,000 is to be provided subject to second child is girl.",,,pmmvy,"['Maternity Benefit', 'Financial Assistance', 'Pregnant Women', 'Cash Incentive', 'Good Nutrition']",Search
Welfare Services for Disabled Persons,,"['Social welfare & Empowerment', 'Health & Wellness']","The scheme aims to provide support, rehabilitation, and empowerment to persons with disabilities through financial assistance for healthcare, education, vocational training, and assistive devices.",,,wsfdp,"['Specially Abled', 'Divyang', 'Prosthetic Aid Scheme', 'Pension']",Search
Nikshay Poshan Yojana,Ministry Of Health & Family Welfare,['Health & Wellness'],"Ministry of Health and Family Welfare, Government of India has announced the scheme for incentives for nutritional support to TB patients. This scheme will be called “Nikshay Poshan Yojana”. ",,,nikshay,"['Tuberculosis', 'Health', 'Financial Assistance']",Search
Pradhan Mantri Bhartiya Janaushadhi Pariyojana,Ministry Of Chemicals And Fertilizers,"['Business & Entrepreneurship', 'Health & Wellness', 'Skills & Employment', 'Social welfare & Empowerment']","Pradhan Mantri Bhartiya Janaushadhi Pariyojana was launched by the Department of Pharmaceuticals, in November 2008. Under the scheme, dedicated outlets known as Janaushadhi Kendras are opened to make quality generic medicines available to all at affordable prices.",,,pmbjp,"['Medicine', 'Pharmaceutical', 'Healthcare', 'Entrepreneur', 'Janaushadhi', 'Generic Drugs']",Search
Scheme for Containing Population Decline of Small Minority Communities ,Ministry Of Minority Affairs,['Health & Wellness'],"The objective of the scheme is to reverse the declining trend of Parsi population by adopting a scientific protocol and structured interventions, stabilize their population and increase the population of Parsis in India.",,,jiyo-parsi,"['Parsi', 'Jiyo Parsi', 'Population', 'Medical', 'Health Of Community']",Search
AFFDF-Financial Assistance For Treatment Of Serious Diseases To Non Pensioner Ex-Servicemen (All Ranks)/Widows,Ministry Of Defence,['Health & Wellness'],"The scheme aims to provide financial assistance to non-pensioner Ex-Servicemen of all ranks and widows for meeting medical expenses incurred on the treatment of approved serious diseases, including cancer, renal failure, knee replacement, and heart surgery.",,,affdf-serious-disease-treatment,"['Ex-Servicemen', 'Widow Of Ex-Servicemen', 'Serious Disease Treatment', 'Medical Assistance', 'Cancer Treatment', 'Dialysis', 'Heart Surgery']",Search
Financial Assistance For Procuring Mobility Equipment To Disabled Ex-Servicemen (All Ranks),Ministry Of Defence,['Health & Wellness'],"The scheme provides financial assistance of a maximum of ₹ 1,00,000 from the Armed Forces Flag Day Fund (AFFDF) for the procurement of modified scooters, crutches and wheelchairs for Ex-Servicemen who are disabled after their retirement from service with a disability of 50% or more.",,,affdf,"['Ex-Servicemen', 'Person With Disability', 'Sainik', 'Handicapped', 'ESM']",Search
NAMO Shree Scheme,,['Health & Wellness'],"The scheme aims to ensure proper nutritional support to pregnant women and lactating mothers and encourage institutional deliveries. It provides financial assistance of ₹12,000/- to eligible women beneficiaries covering expenses from conception to delivery.",,,nss-g,"['Women', 'Maternal', 'Pregnancy', 'Financial', 'Health', 'Nutrition', 'Delivery']",Search
PM POSHAN - Prime Minister's Overarching Scheme For Holistic Nourishment,Ministry of Education,"['Health & Wellness', 'Social welfare & Empowerment']","PM POSHAN is a centrally sponsored scheme by the Department of School Education & Literacy, Ministry of Education. Under this scheme, one hot cooked meal will be provided to the children studying in Government and Government – aided schools. The Scheme is implemented by the Ministry of Education.",,,pm-poshan,"['School', 'Children', 'Health', 'Govt Scheme', 'Nutrition India']",Search
Pradhan Mantri Bhartiya Janaushadhi Pariyojana (PMBJP),Ministry Of Chemicals And Fertilizers,"['Business & Entrepreneurship', 'Health & Wellness', 'Skills & Employment', 'Social welfare & Empowerment']","Pradhan Mantri Bhartiya Janaushadhi Pariyojana was launched by the Department of Pharmaceuticals, in November 2008. Under the scheme, dedicated outlets known as Janaushadhi Kendras are opened to make quality generic medicines available to all at affordable prices.",,,pmbjp,"['Medicine', 'Pharmaceutical', 'Healthcare', 'Entrepreneur', 'Janaushadhi', 'Drug', 'Pharmacist', 'Incentive']",Search
Fund of Funds for Startups,Ministry Of Commerce And Industry,"['Business & Entrepreneurship', 'Banking,Financial Services and Insurance', 'Science, IT & Communications', 'Agriculture,Rural & Environment', 'Health & Wellness', 'Education & Learning']","Launched in January 2016 under Startup India, the Fund of Funds for Startups is managed by SIDBI. It supports DPIIT-recognized startups indirectly by investing in SEBI-registered AIFs, which must invest at least twice the FFS contribution.",,,ffs,"['DPIIT', 'Startup India', 'Startups']",Search
RMEWF-Financial Assistance For Medical Treatment Of Ex-Servicemen,Ministry Of Defence,['Health & Wellness'],The aim of this aid gratis is to provide financial assistance to non-pensioner ESM or their widow to meet routine medical expenses during the year.,,,rmewf,"['Ex-Servicemen', 'Health Checkup', 'Medical Expenses', 'Health Treatment', 'Widow Of Ex-Servicemen']",Search
Pradhan Mantri Bhartiya Janaushadhi Pariyojana (PMBJP),Ministry Of Chemicals And Fertilizers,"['Business & Entrepreneurship', 'Health & Wellness', 'Skills & Employment', 'Social welfare & Empowerment']","Pradhan Mantri Bhartiya Janaushadhi Pariyojana was launched by the Department of Pharmaceuticals, in November 2008. Under the scheme, dedicated outlets known as Janaushadhi Kendras are opened to make quality generic medicines available to all at affordable prices.",,,pmbjp,"['Medicine', 'Pharmaceutical', 'Healthcare', 'Entrepreneur', 'Janaushadhi', 'Pharmacist', 'Incentive']",Search
